0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:27 +0530] "GET /frontend/click HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:29 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:31 +0530] "GET /frontend/click HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:47 +0530] "GET /frontend/mycart HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:47 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:51 +0530] "GET /frontend/click HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:36:55 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:37:03 +0530] "GET /frontend/clickout HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:37:07 +0530] "GET /frontend/click HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:37:18 +0530] "GET /frontend/selProductView HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:38:11 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:38:20 +0530] "POST /frontend/validation HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:38:47 +0530] "POST /frontend/validation HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:43:04 +0530] "POST /frontend/validation HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:44:26 +0530] "POST /frontend/validation HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:44:32 +0530] "POST /frontend/validation HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:05 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:10 +0530] "GET /frontend/mycart HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:10 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:18 +0530] "GET /frontend/clickout HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:20 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:23 +0530] "GET /frontend/selProductView HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:29 +0530] "GET /frontend/regis HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:31 +0530] "GET /frontend/selProductView HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:36 +0530] "GET /frontend/addtocart/Mob100 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:36 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:46:52 +0530] "GET /frontend/click HTTP/1.1" 200 4732
